age,gender,height_cm,weight_kg,bmi,bmi_category,fitness_goal,workout_experience,activity_level,equipment_available,equipment_count,has_gym_access,workout_days_per_week,diet_preference,target_split
31,female,155.2,69.0,28.6,overweight,weight_loss,beginner,lightly_active,"dumbbells,barbell",2,False,5,vegetarian,full_body
16,male,165.9,68.4,24.9,normal,muscle_gain,beginner,lightly_active,resistance_bands,1,False,1,non_vegetarian,home_bodyweight
28,female,156.5,71.3,29.1,overweight,muscle_gain,beginner,moderately_active,full_gym,1,True,1,vegetarian,full_body
29,female,169.3,74.3,25.9,overweight,weight_loss,beginner,extra_active,dumbbells,1,False,2,non_vegetarian,full_body
31,female,155.8,69.0,28.4,overweight,muscle_gain,intermediate,moderately_active,resistance_bands,1,False,7,non_vegetarian,home_bodyweight
26,female,157.6,74.2,29.9,overweight,general_fitness,intermediate,very_active,pull_up_bar,1,False,5,non_vegetarian,home_bodyweight
24,male,172.5,80.9,27.2,overweight,weight_loss,beginner,lightly_active,none,1,False,3,vegetarian,home_bodyweight
32,male,178.0,106.8,33.7,obese,muscle_gain,beginner,lightly_active,full_gym,1,True,5,vegetarian,push_pull_legs
23,male,169.3,80.8,28.2,overweight,general_fitness,beginner,lightly_active,full_gym,1,True,5,vegetarian,full_body
27,female,156.5,51.9,21.2,normal,general_fitness,intermediate,lightly_active,none,1,False,3,non_vegetarian,home_bodyweight
35,male,178.8,69.2,21.6,normal,maintenance,intermediate,lightly_active,"dumbbells,resistance_bands",2,False,4,vegan,upper_lower
29,male,176.5,89.1,28.6,overweight,weight_loss,beginner,moderately_active,none,1,False,4,vegetarian,home_bodyweight
34,male,175.5,81.0,26.3,overweight,weight_loss,advanced,moderately_active,none,1,False,2,non_vegetarian,home_bodyweight
16,female,159.9,56.1,21.9,normal,general_fitness,beginner,sedentary,dumbbells,1,False,7,non_vegetarian,home_bodyweight
26,other,180.0,68.7,21.2,normal,general_fitness,beginner,moderately_active,"dumbbells,pull_up_bar",2,False,4,non_vegetarian,home_bodyweight
16,female,159.8,65.6,25.7,overweight,weight_loss,beginner,lightly_active,full_gym,1,True,6,non_vegetarian,home_bodyweight
34,female,167.2,63.2,22.6,normal,weight_loss,advanced,very_active,none,1,False,5,vegetarian,home_bodyweight
36,male,173.7,54.7,18.1,underweight,general_fitness,beginner,moderately_active,resistance_bands,1,False,1,non_vegetarian,home_bodyweight
20,male,178.5,81.8,25.7,overweight,maintenance,intermediate,very_active,none,1,False,2,vegetarian,home_bodyweight
24,female,163.0,71.9,27.1,overweight,weight_loss,beginner,sedentary,"dumbbells,barbell",2,False,5,non_vegetarian,full_body
32,male,170.4,65.6,22.6,normal,muscle_gain,beginner,very_active,dumbbells,1,False,3,non_vegetarian,full_body
17,female,165.2,61.1,22.4,normal,weight_loss,beginner,extra_active,"dumbbells,resistance_bands",2,False,4,non_vegetarian,home_bodyweight
32,male,178.1,87.0,27.4,overweight,weight_loss,beginner,moderately_active,none,1,False,3,non_vegetarian,home_bodyweight
24,female,161.5,42.2,16.2,underweight,weight_loss,advanced,very_active,none,1,False,3,vegetarian,home_bodyweight
16,male,168.0,72.2,25.6,overweight,weight_loss,advanced,moderately_active,dumbbells,1,False,5,vegetarian,push_pull_legs
25,male,184.1,79.3,23.4,normal,weight_loss,beginner,lightly_active,dumbbells,1,False,5,vegetarian,full_body
20,other,166.4,55.4,20.0,normal,weight_loss,beginner,lightly_active,full_gym,1,True,3,non_vegetarian,full_body
36,male,162.9,70.7,26.6,overweight,muscle_gain,beginner,lightly_active,full_gym,1,True,4,vegetarian,upper_lower
23,female,152.6,56.9,24.4,normal,weight_loss,advanced,very_active,full_gym,1,True,6,vegetarian,push_pull_legs
30,male,175.2,96.6,31.5,obese,muscle_gain,beginner,lightly_active,none,1,False,4,vegan,home_bodyweight
19,male,176.3,82.5,26.5,overweight,general_fitness,beginner,lightly_active,full_gym,1,True,7,vegetarian,home_bodyweight
36,female,164.3,80.9,30.0,obese,weight_loss,beginner,extra_active,pull_up_bar,1,False,4,vegetarian,home_bodyweight
22,male,168.5,61.9,21.8,normal,muscle_gain,beginner,very_active,none,1,False,7,non_vegetarian,home_bodyweight
34,male,173.4,52.1,17.3,underweight,muscle_gain,intermediate,lightly_active,none,1,False,6,non_vegetarian,home_bodyweight
31,female,167.4,102.0,36.4,obese,muscle_gain,beginner,moderately_active,resistance_bands,1,False,6,non_vegetarian,home_bodyweight
32,female,155.6,39.0,16.1,underweight,weight_loss,beginner,moderately_active,none,1,False,3,vegetarian,home_bodyweight
21,male,172.1,64.1,21.6,normal,muscle_gain,advanced,extra_active,none,1,False,3,non_vegetarian,home_bodyweight
38,female,163.0,61.2,23.0,normal,maintenance,intermediate,lightly_active,none,1,False,5,vegetarian,home_bodyweight
16,female,158.8,64.4,25.5,overweight,maintenance,intermediate,sedentary,full_gym,1,True,3,vegetarian,push_pull_legs
29,female,168.4,60.9,21.5,normal,weight_loss,beginner,sedentary,resistance_bands,1,False,3,vegetarian,home_bodyweight
19,female,157.3,82.2,33.2,obese,weight_loss,intermediate,lightly_active,resistance_bands,1,False,6,vegetarian,home_bodyweight
36,male,168.7,82.6,29.0,overweight,muscle_gain,beginner,sedentary,"dumbbells,barbell",2,False,5,non_vegetarian,push_pull_legs
27,female,161.7,57.1,21.8,normal,muscle_gain,beginner,sedentary,none,1,False,6,vegan,home_bodyweight
24,female,154.0,44.7,18.8,normal,general_fitness,intermediate,sedentary,none,1,False,3,vegetarian,home_bodyweight
42,female,163.0,64.2,24.2,normal,general_fitness,intermediate,lightly_active,none,1,False,2,vegetarian,home_bodyweight
40,female,163.4,62.5,23.4,normal,muscle_gain,intermediate,sedentary,full_gym,1,True,6,vegan,push_pull_legs
32,female,172.0,72.2,24.4,normal,maintenance,beginner,moderately_active,dumbbells,1,False,6,vegetarian,push_pull_legs
16,female,172.7,95.7,32.1,obese,general_fitness,beginner,moderately_active,none,1,False,6,vegetarian,home_bodyweight
25,male,185.2,65.1,19.0,normal,general_fitness,beginner,lightly_active,full_gym,1,True,3,non_vegetarian,full_body
